Id,devicename,batterylife,price,BasemarkX,year,ImageURL,screensize,phoneURL,nfc,headphonejack,dualsim,ir,dxomarkScore,antutu
532,Xiaomi Redmi 4 Prime,91,143,0,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-4-prime-new.jpg,5.0000,https://www.gsmarena.com/xiaomi_redmi_4_prime-8263.php,0,1,1,1,0,0
533,Xiaomi Mi Mix,97,348,37346,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mix-.jpg,6.4000,https://www.gsmarena.com/xiaomi_mi_mix-8400.php,1,1,1,0,0,157000
534,Xiaomi Mi Note 2,92,277,36506,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-note2-.jpg,5.7000,https://www.gsmarena.com/xiaomi_mi_note_2-8014.php,1,1,1,1,0,164000
535,Xiaomi Mi 5s Plus,104,277,36062,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-5s-plus.jpg,5.7000,https://www.gsmarena.com/xiaomi_mi_5s_plus-8350.php,1,1,1,1,0,0
536,Xiaomi Mi 5s,84,223,36240,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-5s1.jpg,5.1500,https://www.gsmarena.com/xiaomi_mi_5s-7260.php,1,1,1,0,0,0
537,Xiaomi Redmi Note 4 (MediaTek),83,151,13666,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-4.jpg,5.5000,https://www.gsmarena.com/xiaomi_redmi_note_4_(mediatek)-8291.php,0,1,1,1,0,0
538,Xiaomi Redmi Pro,80,151,23846,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-pro.jpg,5.5000,https://www.gsmarena.com/xiaomi_redmi_pro-8233.php,0,1,1,1,0,86000
539,Xiaomi Redmi 3x,0,151,0,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-3x.jpg,5.0000,https://www.gsmarena.com/xiaomi_redmi_3x-8212.php,0,1,1,1,0,35000
540,Xiaomi Redmi 3s Prime,85,134,7263,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-3-pro-.jpg,5.0000,https://www.gsmarena.com/xiaomi_redmi_3s_prime-8250.php,0,1,1,1,0,0
541,Xiaomi Redmi 3s,104,107,7263,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-3s.jpg,5.0000,https://www.gsmarena.com/xiaomi_redmi_3s-8150.php,0,1,1,1,0,37000
542,Xiaomi Redmi 3 Pro,104,116,262,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-3-pro-.jpg,5.0000,https://www.gsmarena.com/xiaomi_redmi_3_pro-8007.php,0,1,1,1,0,33000
543,Xiaomi Mi 5,92,214,33110,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-5.jpg,5.1500,https://www.gsmarena.com/xiaomi_mi_5-6948.php,1,1,1,1,0,0
544,Xiaomi Mi Max,108,134,15487,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-max-.jpg,6.4400,https://www.gsmarena.com/xiaomi_mi_max-8057.php,0,1,1,1,0,97000
545,Xiaomi Mi 4s,75,196,12990,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-4s.jpg,5.0000,https://www.gsmarena.com/xiaomi_mi_4s-7962.php,0,1,1,1,0,61000
546,Xiaomi Redmi Note 3,93,143,14717,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-3.jpg,5.5000,https://www.gsmarena.com/xiaomi_redmi_note_3-7863.php,0,1,1,1,0,49000
547,Xiaomi Redmi 3,107,143,0,2016,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-3-.jpg,5.0000,https://www.gsmarena.com/xiaomi_redmi_3-7862.php,0,1,1,1,0,33000
548,Xiaomi Redmi Note Prime,0,125,0,2015,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-prime-.jpg,5.5000,https://www.gsmarena.com/xiaomi_redmi_note_prime-7822.php,0,1,1,0,0,0
549,Xiaomi Redmi Note 3 (MediaTek),72,160,8540,2015,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-3.jpg,5.5000,https://www.gsmarena.com/xiaomi_redmi_note_3_(mediatek)-7769.php,0,1,1,1,0,0
550,Xiaomi Mi 4c,52,187,12096,2015,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi-4c.jpg,5.0000,https://www.gsmarena.com/xiaomi_mi_4c-7512.php,0,1,1,1,0,0
551,Xiaomi Redmi Note 2,49,143,8518,2015,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-2--.jpg,5.5000,https://www.gsmarena.com/xiaomi_redmi_note_2-6992.php,0,1,1,1,0,0
552,Xiaomi Redmi 2 Pro,0,89,0,2015,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-2-prime-.jpg,4.7000,https://www.gsmarena.com/xiaomi_redmi_2_pro-7710.php,0,1,1,0,0,0
553,Xiaomi Redmi 2 Prime,0,107,0,2015,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-2-prime-.jpg,4.7000,https://www.gsmarena.com/xiaomi_redmi_2_prime-7480.php,0,1,1,0,0,0
554,Xiaomi Mi 4i,67,232,4875,2015,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-mi4i.jpg,5.0000,https://www.gsmarena.com/xiaomi_mi_4i-7211.php,0,1,1,0,0,40000
555,Xiaomi Mi Note Pro,0,223,0,2015,https://cdn2.gsmarena.com/vv/bigpic/xiaomi-note-pro2.jpg,5.7000,https://www.gsmarena.com/xiaomi_mi_note_pro-6952.php,0,1,1,0,0,80000
