Id,devicename,batterylife,price,BasemarkX,year,ImageURL,screensize,phoneURL,nfc,headphonejack,dualsim,ir,dxomarkScore,antutu
623,Oppo R15x,0,312,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-r15x.jpg,6.4000,https://www.gsmarena.com/oppo_r15x-9380.php,0,1,1,0,0,143000
624,Oppo RX17 Neo,0,312,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-k1-.jpg,6.4100,https://www.gsmarena.com/oppo_rx17_neo-9393.php,0,1,1,0,0,0
625,Oppo K1,0,187,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-k1-.jpg,6.4000,https://www.gsmarena.com/oppo_k1-9361.php,0,1,1,0,0,140000
626,Oppo A7x,0,241,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-a7x-.jpg,6.3000,https://www.gsmarena.com/oppo_a7x-9317.php,0,1,1,0,0,140000
627,Oppo RX17 Pro,80,536,28537,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-r17-pro.jpg,6.4000,https://www.gsmarena.com/oppo_rx17_pro-9288.php,1,1,1,0,0,170000
628,Oppo R17,0,411,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-r17-.jpg,6.4000,https://www.gsmarena.com/oppo_r17-9287.php,0,1,1,0,0,175000
629,Oppo F9 (F9 Pro),94,259,10536,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-f9.jpg,6.3000,https://www.gsmarena.com/oppo_f9_(f9_pro)-9286.php,0,1,1,0,0,0
630,Oppo A3s,0,0,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-a3s.jpg,6.2000,https://www.gsmarena.com/oppo_a3s-9269.php,0,1,1,0,0,64000
631,Oppo A5 (AX5),0,205,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-a5.jpg,6.2000,https://www.gsmarena.com/oppo_a5_(ax5)-9259.php,0,1,1,0,0,0
632,Oppo Find X Lamborghini,82,1206,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-find-x-lamborgini-edition.jpg,6.4200,https://www.gsmarena.com/oppo_find_x_lamborghini-9248.php,0,1,1,0,0,286000
633,Oppo Find X,90,536,40537,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-find-x.jpg,6.4200,https://www.gsmarena.com/oppo_find_x-7885.php,0,1,1,0,0,286000
634,Oppo F7 Youth,0,223,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-f7-yough-5.jpg,6.0000,https://www.gsmarena.com/oppo_f7_youth-9208.php,0,1,1,0,0,0
635,Oppo A3,0,294,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-a3.jpg,6.2000,https://www.gsmarena.com/oppo_a3-9168.php,0,1,1,0,0,140000
636,Oppo F7,91,241,11873,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-f7-.jpg,6.2300,https://www.gsmarena.com/oppo_f7-9121.php,0,1,1,0,0,140000
637,Oppo R15 Pro,86,455,20693,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-r15-dme.jpg,6.2800,https://www.gsmarena.com/oppo_r15_pro-9118.php,1,1,1,0,0,146000
638,Oppo R15,0,411,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-r15-.jpg,6.2800,https://www.gsmarena.com/oppo_r15-9108.php,0,1,1,0,0,140000
639,Oppo A1,0,134,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-a1.jpg,5.7000,https://www.gsmarena.com/oppo_a1-9134.php,0,1,1,0,0,69000
640,Oppo A71 (2018),0,116,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-a71-2018.jpg,5.2000,https://www.gsmarena.com/oppo_a71_(2018)-9051.php,0,1,1,0,0,0
641,Oppo A83,0,178,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oppo-a83.jpg,5.7000,https://www.gsmarena.com/oppo_a83-8957.php,0,1,1,0,0,80000
642,Oppo F5 Youth,0,250,0,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-f5-youth-a73-new.jpg,6.0000,https://www.gsmarena.com/oppo_f5_youth-8909.php,0,1,1,0,0,72000
643,Oppo F5,91,286,9205,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-f5-youth-a73-new.jpg,6.0000,https://www.gsmarena.com/oppo_f5-8889.php,0,1,1,0,0,72000
644,Oppo R11s Plus,0,518,0,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-r11s-plus.jpg,6.4300,https://www.gsmarena.com/oppo_r11s_plus-8927.php,0,1,1,0,0,137000
645,Oppo R11s,77,402,20914,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-r11s-r.jpg,6.0100,https://www.gsmarena.com/oppo_r11s-8911.php,0,1,1,0,0,138000
646,Oppo A71,0,160,0,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-a71-.jpg,5.2000,https://www.gsmarena.com/oppo_a71-8849.php,0,1,1,0,0,62000
647,Oppo A77,0,250,0,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-a77-sn.jpg,5.5000,https://www.gsmarena.com/oppo_a77-8777.php,0,1,1,0,0,42000
648,Oppo R11 Plus,0,446,0,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-r11.jpg,6.0000,https://www.gsmarena.com/oppo_r11_plus-8719.php,0,1,1,0,0,136000
649,Oppo R11,81,357,20350,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-r11.jpg,5.5000,https://www.gsmarena.com/oppo_r11-8644.php,0,1,1,0,0,136000
650,Oppo A77 (Mediatek),0,277,0,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-a77-.jpg,5.5000,https://www.gsmarena.com/oppo_a77_(mediatek)-8685.php,0,1,1,0,0,0
651,Oppo A39,0,134,0,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-a39.jpg,5.2000,https://www.gsmarena.com/oppo_a39-8890.php,0,1,1,0,0,0
652,Oppo F3,68,232,6148,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-f3-plus.jpg,5.5000,https://www.gsmarena.com/oppo_f3-8669.php,0,1,1,0,0,57000
653,Oppo F3 Plus,79,429,16695,2017,https://cdn2.gsmarena.com/vv/bigpic/oppo-f3-plus.jpg,6.0000,https://www.gsmarena.com/oppo_f3_plus-8613.php,0,1,1,0,0,92000
654,Oppo A57,0,178,0,2016,https://cdn2.gsmarena.com/vv/bigpic/oppo-a57.jpg,5.2000,https://www.gsmarena.com/oppo_a57-8468.php,0,1,1,0,0,46000
655,Oppo F1s,0,223,0,2016,https://cdn2.gsmarena.com/vv/bigpic/oppo-f1s.jpg,5.5000,https://www.gsmarena.com/oppo_f1s-8239.php,0,1,1,0,0,41000
656,Oppo R9s Plus,0,509,0,2016,https://cdn2.gsmarena.com/vv/bigpic/oppo-r9s-.jpg,6.0000,https://www.gsmarena.com/oppo_r9s_plus-8394.php,1,1,1,0,0,99000
657,Oppo R9s,74,402,10519,2016,https://cdn2.gsmarena.com/vv/bigpic/oppo-r9s-.jpg,5.5000,https://www.gsmarena.com/oppo_r9s-8386.php,0,1,1,0,0,62000
658,Oppo A37,0,196,0,2016,https://cdn2.gsmarena.com/vv/bigpic/oppo-a37.jpg,5.0000,https://www.gsmarena.com/oppo_a37-8162.php,0,1,1,0,0,39000
659,Oppo A59,0,259,0,2016,https://cdn2.gsmarena.com/vv/bigpic/oppo-a59.jpg,5.5000,https://www.gsmarena.com/oppo_a59-8155.php,0,1,1,0,0,36000
660,Oppo R9 Plus,0,491,0,2016,https://cdn2.gsmarena.com/vv/bigpic/oppo-r9.jpg,6.0000,https://www.gsmarena.com/oppo_r9_plus-7981.php,0,1,1,0,0,73000
661,Oppo F1 Plus,74,312,6204,2016,https://cdn2.gsmarena.com/vv/bigpic/oppo-f1-plus.jpg,5.5000,https://www.gsmarena.com/oppo_f1_plus-7967.php,0,1,1,0,0,51000
662,Oppo F1,58,205,5314,2016,https://cdn2.gsmarena.com/vv/bigpic/oppo-f1.jpg,5.0000,https://www.gsmarena.com/oppo_f1-7855.php,0,1,1,0,0,35000
663,Oppo A53,0,178,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-a53.jpg,5.5000,https://www.gsmarena.com/oppo_a53-7780.php,1,1,1,0,0,34000
664,Oppo A33,0,214,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-a33.jpg,5.0000,https://www.gsmarena.com/oppo_a33-7767.php,0,1,1,0,0,26000
665,Oppo Neo 7,0,125,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-neo-7.jpg,5.0000,https://www.gsmarena.com/oppo_neo_7-7707.php,0,1,1,0,0,25000
666,Oppo R7s,73,232,5302,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-r7s.jpg,5.5000,https://www.gsmarena.com/oppo_r7s-7669.php,0,1,1,0,0,31000
667,Oppo R7 lite,0,223,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-r7-new.jpg,5.0000,https://www.gsmarena.com/oppo_r7_lite-7553.php,0,1,1,0,0,0
668,Oppo R5s,0,178,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-r5s.jpg,5.2000,https://www.gsmarena.com/oppo_r5s-7514.php,0,1,0,0,0,26000
669,Oppo Mirror 5s,0,0,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-mirror-5s.jpg,5.0000,https://www.gsmarena.com/oppo_mirror_5s-7362.php,0,1,1,1,0,19000
670,Oppo Mirror 5,0,196,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-mirror-5s.jpg,5.0000,https://www.gsmarena.com/oppo_mirror_5-7427.php,0,1,1,1,0,0
671,Oppo Joy 3,0,116,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-joy3.jpg,4.5000,https://www.gsmarena.com/oppo_joy_3-7353.php,0,1,1,0,0,0
672,Oppo R7 Plus,94,384,5349,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-r7-plus.jpg,6.0000,https://www.gsmarena.com/oppo_r7_plus-7237.php,0,1,1,0,0,35000
673,Oppo R7,63,321,5382,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-r7-new.jpg,5.0000,https://www.gsmarena.com/oppo_r7-7221.php,0,1,1,0,0,28000
674,Oppo Neo 5 (2015),0,62,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-neo-5s.jpg,4.5000,https://www.gsmarena.com/oppo_neo_5_(2015)-7278.php,0,1,1,0,0,0
675,Oppo Neo 5s,0,143,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-neo-5s.jpg,4.5000,https://www.gsmarena.com/oppo_neo_5s-7248.php,0,1,1,0,0,0
676,Oppo Joy Plus,0,89,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-joy-plus.jpg,4.0000,https://www.gsmarena.com/oppo_joy_plus-7208.php,0,1,1,0,0,0
677,Oppo Mirror 3,0,241,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-mirror-3.jpg,4.7000,https://www.gsmarena.com/oppo_mirror_3-7193.php,0,1,1,0,0,0
678,Oppo A31,0,134,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-a31.jpg,4.5000,https://www.gsmarena.com/oppo_a31-7186.php,0,1,1,0,0,0
679,Oppo R1x,56,303,4018,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-r1c-new.jpg,5.0000,https://www.gsmarena.com/oppo_r1x-6945.php,0,1,1,0,0,0
680,Oppo U3,0,0,0,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-u3-new.jpg,5.9000,https://www.gsmarena.com/oppo_u3-6780.php,1,1,1,0,0,0
681,Oppo N3,64,491,10095,2015,https://cdn2.gsmarena.com/vv/bigpic/oppo-n3-new1.jpg,5.5000,https://www.gsmarena.com/oppo_n3-6752.php,1,1,1,0,0,36000
682,OnePlus 7 Pro 5G,0,0,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oneplus-7-pro-r1.jpg,6.6700,https://www.gsmarena.com/oneplus_7_pro_5g-9704.php,1,1,1,0,0,0
683,OnePlus 7 Pro,85,625,45413,2019,https://cdn2.gsmarena.com/vv/bigpic/oneplus-7-pro-r1.jpg,6.6700,https://www.gsmarena.com/oneplus_7_pro-9689.php,1,1,1,0,111,364000
684,OnePlus 7,0,491,0,2019,https://cdn2.gsmarena.com/vv/bigpic/oneplus-7--.jpg,6.4100,https://www.gsmarena.com/oneplus_7-9623.php,1,1,1,0,0,362000
685,OnePlus 6T McLaren,0,625,0,2018,https://cdn2.gsmarena.com/vv/bigpic/oneplus-6t-mclaren-edition.jpg,6.4100,https://www.gsmarena.com/oneplus_6t_mclaren-9469.php,1,1,1,0,0,0
686,OnePlus 6T,90,491,43886,2018,https://cdn2.gsmarena.com/vv/bigpic/oneplus-6t-thunder-purple.jpg,6.4100,https://www.gsmarena.com/oneplus_6t-9350.php,1,1,1,0,98,297000
687,OnePlus 6,76,464,44229,2018,https://cdn2.gsmarena.com/vv/bigpic/oneplus-6-red.jpg,6.2800,https://www.gsmarena.com/oneplus_6-9109.php,1,1,1,0,96,292000
688,OnePlus 5T,82,446,38656,2017,https://cdn2.gsmarena.com/vv/bigpic/oneplus-5t.jpg,6.0100,https://www.gsmarena.com/oneplus_5t-8912.php,1,1,1,0,0,212000
689,OnePlus 5,83,446,38844,2017,https://cdn2.gsmarena.com/vv/bigpic/oneplus-5.jpg,5.5000,https://www.gsmarena.com/oneplus_5-8647.php,1,1,1,0,0,210000
690,OnePlus 3T,83,393,36958,2016,https://cdn2.gsmarena.com/vv/bigpic/oneplus-3t-.jpg,5.5000,https://www.gsmarena.com/oneplus_3t-8416.php,1,1,1,0,0,178000
691,OnePlus 3,66,357,32715,2016,https://cdn2.gsmarena.com/vv/bigpic/oneplus-3-.jpg,5.5000,https://www.gsmarena.com/oneplus_3-7995.php,1,1,1,0,0,164000
692,OnePlus X,54,241,10572,2015,https://cdn2.gsmarena.com/vv/bigpic/oneplus-x.jpg,5.0000,https://www.gsmarena.com/oneplus_x-7630.php,0,1,1,0,0,47000
693,OnePlus 2,61,268,21937,2015,https://cdn2.gsmarena.com/vv/bigpic/oneplus-two.jpg,5.5000,https://www.gsmarena.com/oneplus_2-6902.php,0,1,1,0,0,91000
694,Meizu 16s,0,375,0,2019,https://cdn2.gsmarena.com/vv/bigpic/meizu-16s.jpg,6.2000,https://www.gsmarena.com/meizu_16s-9424.php,1,1,1,0,0,374000
695,Meizu Note 9,0,178,0,2019,https://cdn2.gsmarena.com/vv/bigpic/meizu-note-9.jpg,6.2000,https://www.gsmarena.com/meizu_note_9-9555.php,0,1,1,0,0,178000
696,Meizu C9 Pro,0,98,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-c9-pro.jpg,5.4500,https://www.gsmarena.com/meizu_c9_pro-9453.php,0,1,1,0,0,0
697,Meizu C9,0,80,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-c9.jpg,5.4500,https://www.gsmarena.com/meizu_c9-9454.php,0,1,1,0,0,16000
698,Meizu Note 8,0,178,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-note-8-.jpg,6.0000,https://www.gsmarena.com/meizu_note_8-9384.php,0,1,1,0,0,102000
699,Meizu X8,0,178,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-x8.jpg,6.2000,https://www.gsmarena.com/meizu_x8-9341.php,0,1,1,0,0,164000
700,Meizu V8 Pro,0,134,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-v8-pro.jpg,5.7000,https://www.gsmarena.com/meizu_v8_pro-9338.php,0,1,1,0,0,75000
701,Meizu V8,0,89,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-v8.jpg,5.7000,https://www.gsmarena.com/meizu_v8-9339.php,0,1,1,0,0,25000
702,Meizu 16X,0,268,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-m16x-.jpg,6.0000,https://www.gsmarena.com/meizu_16x-9337.php,0,1,1,0,0,164000
703,Meizu 16,0,366,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-16.jpg,6.0000,https://www.gsmarena.com/meizu_16-9280.php,0,1,1,0,0,164000
704,Meizu 16 Plus,0,429,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-16-plus.jpg,6.5000,https://www.gsmarena.com/meizu_16_plus-9279.php,0,1,1,0,0,291000
705,Meizu M6T,0,116,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-m6t.jpg,5.7000,https://www.gsmarena.com/meizu_m6t-9213.php,0,1,1,0,0,0
706,Meizu M8c,0,125,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-m8c.jpg,5.4500,https://www.gsmarena.com/meizu_m8c-9210.php,0,1,1,0,0,32000
707,Meizu 15 Plus,0,429,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-15-plus-.jpg,5.9500,https://www.gsmarena.com/meizu_15_plus-9160.php,0,1,1,0,0,184000
708,Meizu 15,77,357,20836,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-15.jpg,5.4600,https://www.gsmarena.com/meizu_15-9159.php,0,1,1,0,0,134000
709,Meizu 15 Lite,0,214,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-m15.jpg,5.4600,https://www.gsmarena.com/meizu_15_lite-9158.php,0,1,1,0,0,81000
710,Meizu E3,0,250,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-e3.jpg,5.9900,https://www.gsmarena.com/meizu_e3-9066.php,0,1,1,0,0,112000
711,Meizu M6s,0,134,0,2018,https://cdn2.gsmarena.com/vv/bigpic/meizu-m6s.jpg,5.7000,https://www.gsmarena.com/meizu_m6s-8998.php,0,1,1,0,0,90000
712,Meizu M6,0,116,0,2017,https://cdn2.gsmarena.com/vv/bigpic/meizu-m6--.jpg,5.2000,https://www.gsmarena.com/meizu_m6-8868.php,0,1,1,0,0,36000
713,Meizu M6 Note,0,151,0,2017,https://cdn2.gsmarena.com/vv/bigpic/meizu-m6-note.jpg,5.5000,https://www.gsmarena.com/meizu_m6_note-8802.php,0,1,1,0,0,75000
714,Meizu Pro 7 Plus,70,446,22472,2017,https://cdn2.gsmarena.com/vv/bigpic/meizu-pro-7-plus.jpg,5.7000,https://www.gsmarena.com/meizu_pro_7_plus-8791.php,0,1,1,0,0,149000
715,Meizu Pro 7,0,357,0,2017,https://cdn2.gsmarena.com/vv/bigpic/meizu-pro-7.jpg,5.2000,https://www.gsmarena.com/meizu_pro_7-8445.php,0,1,1,0,0,67000
716,Meizu M5c,0,125,0,2017,https://cdn2.gsmarena.com/vv/bigpic/meizu-m5c-.jpg,5.0000,https://www.gsmarena.com/meizu_m5c-8697.php,0,1,1,0,0,26000
717,Meizu E2,0,187,0,2017,https://cdn2.gsmarena.com/vv/bigpic/meizu-e2.jpg,5.5000,https://www.gsmarena.com/meizu_e2-8659.php,0,1,1,0,0,81000
718,Meizu M5s,56,116,4646,2017,https://cdn2.gsmarena.com/vv/bigpic/meizu-m5s.jpg,5.2000,https://www.gsmarena.com/meizu_m5s-8500.php,0,1,1,0,0,45000
719,Meizu M5 Note,98,169,5276,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-m5-note.jpg,5.5000,https://www.gsmarena.com/meizu_m5_note-8450.php,0,1,1,0,0,48000
720,Meizu M3x,0,0,0,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-m3x.jpg,5.5000,https://www.gsmarena.com/meizu_m3x-8452.php,0,1,1,0,0,0
721,Meizu Pro 6 Plus,96,491,23513,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-pro-6-plus.jpg,5.7000,https://www.gsmarena.com/meizu_pro_6_plus-8451.php,1,1,1,0,0,135000
722,Meizu MX5e,0,169,0,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-mx5.jpg,5.5000,https://www.gsmarena.com/meizu_mx5e-8446.php,0,1,1,0,0,0
723,Meizu U10,0,143,0,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-u10.jpg,5.0000,https://www.gsmarena.com/meizu_u10-8441.php,0,1,1,0,0,40000
724,Meizu U20,0,169,0,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-u20.jpg,5.5000,https://www.gsmarena.com/meizu_u20-8440.php,0,1,1,0,0,50000
725,Meizu Pro 6s,0,384,0,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-pro-6s.jpg,5.2000,https://www.gsmarena.com/meizu_pro_6s-8389.php,1,1,1,0,0,96000
726,Meizu M5,76,107,4767,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-m5.jpg,5.2000,https://www.gsmarena.com/meizu_m5-8408.php,0,1,1,0,0,36000
727,Meizu M3 Max,100,241,5219,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-m3m.jpg,6.0000,https://www.gsmarena.com/meizu_m3_max-8321.php,0,1,1,0,0,50000
728,Meizu M3e,0,196,0,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-m3e.jpg,5.5000,https://www.gsmarena.com/meizu_m3e-8264.php,0,1,1,0,0,47000
729,Meizu MX6,68,268,12621,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-mx6.jpg,5.5000,https://www.gsmarena.com/meizu_mx6-8078.php,0,1,1,0,0,99000
730,Meizu M3s,0,107,0,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-m3s.jpg,5.0000,https://www.gsmarena.com/meizu_m3s-8148.php,0,1,1,0,0,38000
731,Meizu M3,0,116,0,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-m3.jpg,5.0000,https://www.gsmarena.com/meizu_m3-8062.php,0,1,1,0,0,39000
732,Meizu Pro 6,57,366,15209,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-pro-6.jpg,5.2000,https://www.gsmarena.com/meizu_pro_6-7971.php,1,1,1,0,0,96000
733,Meizu M3 Note,93,160,4567,2016,https://cdn2.gsmarena.com/vv/bigpic/meizu-m3-note.jpg,5.5000,https://www.gsmarena.com/meizu_m3_note-8005.php,0,1,1,0,0,44000
734,Meizu M1 Metal,61,151,8526,2015,https://cdn2.gsmarena.com/vv/bigpic/meizu-metal1.jpg,5.5000,https://www.gsmarena.com/meizu_m1_metal-7674.php,0,1,1,0,0,0
735,Meizu PRO 5,95,348,20038,2015,https://cdn2.gsmarena.com/vv/bigpic/meizu-pro-5.jpg,5.7000,https://www.gsmarena.com/meizu_pro_5-7573.php,1,1,1,0,0,0
736,Meizu M2,0,116,0,2015,https://cdn2.gsmarena.com/vv/bigpic/meizu-m2.jpg,5.0000,https://www.gsmarena.com/meizu_m2-7455.php,0,1,1,0,0,31000
737,Meizu MX5,55,187,10403,2015,https://cdn2.gsmarena.com/vv/bigpic/meizu-mx5.jpg,5.5000,https://www.gsmarena.com/meizu_mx5-7240.php,0,1,1,0,0,53000
738,Meizu M2 Note,69,178,0,2015,https://cdn2.gsmarena.com/vv/bigpic/meizu-m1-note2.jpg,5.5000,https://www.gsmarena.com/meizu_m2_note-7266.php,0,1,1,0,0,32000
739,Meizu M1,0,89,0,2015,https://cdn2.gsmarena.com/vv/bigpic/meizu-m1-note-mini.jpg,5.0000,https://www.gsmarena.com/meizu_m1-6978.php,0,1,0,0,0,30000
740,Meizu M1 Note,66,116,4617,2015,https://cdn2.gsmarena.com/vv/bigpic/meizu-m1-note-1.jpg,5.5000,https://www.gsmarena.com/meizu_m1_note-6890.php,0,1,1,0,0,49000
741,Asus Zenfone 6 ZS630KL,0,446,0,2019,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-6-zs630kl.jpg,6.4000,https://www.gsmarena.com/asus_zenfone_6_zs630kl-9698.php,1,1,1,0,0,365000
742,Asus ZenFone Live (L2),0,0,0,2019,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l2.jpg,5.5000,https://www.gsmarena.com/asus_zenfone_live_(l2)-9667.php,0,1,1,0,0,25000
743,Asus Zenfone Max Plus (M2) ZB634KL,0,268,0,2019,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-plus-m2.jpg,6.2600,https://www.gsmarena.com/asus_zenfone_max_plus_(m2)_zb634kl-9634.php,0,1,1,0,0,0
744,Asus Zenfone Max Shot ZB634KL,0,277,0,2019,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-shot.jpg,6.2600,https://www.gsmarena.com/asus_zenfone_max_shot_zb634kl-9633.php,0,1,1,0,0,0
745,Asus Zenfone Max Pro (M2) ZB631KL,0,0,0,2018,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m2r1.jpg,6.2600,https://www.gsmarena.com/asus_zenfone_max_pro_(m2)_zb631kl-9410.php,1,1,1,0,0,0
746,Asus Zenfone Max (M2) ZB633KL,0,0,0,2018,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m2-zb633kl-r.jpg,6.2600,https://www.gsmarena.com/asus_zenfone_max_(m2)_zb633kl-9437.php,0,1,1,0,0,0
747,Asus Zenfone Max (M1) ZB556KL,0,107,0,2018,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1-zb556kl.jpg,5.4500,https://www.gsmarena.com/asus_zenfone_max_(m1)_zb556kl-9373.php,0,1,1,0,0,0
748,Asus ZenFone Lite (L1) ZA551KL,0,71,0,2018,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-lite-l1-za551kl.jpg,5.4500,https://www.gsmarena.com/asus_zenfone_lite_(l1)_za551kl-9372.php,0,1,1,0,0,0
749,Asus ROG Phone,78,849,60171,2018,https://cdn2.gsmarena.com/vv/bigpic/asus-rog-phone.jpg,6.0000,https://www.gsmarena.com/asus_rog_phone-9224.php,1,1,1,0,0,304000
750,Asus ZenFone Live (L1) ZA550KL,0,89,0,2018,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l1-za550kl-.jpg,5.5000,https://www.gsmarena.com/asus_zenfone_live_(l1)_za550kl-9194.php,0,1,1,0,0,0
751,Asus Zenfone Max Pro (M1) ZB601KL/ZB602K,0,143,0,2018,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m1-zb601kl-.jpg,5.9900,https://www.gsmarena.com/asus_zenfone_max_pro_(m1)_zb601kl_zb602k-9173.php,1,1,1,0,0,0
752,Asus Zenfone 5z ZS620KL,0,446,0,2018,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-ze620kl-5z-zs620kl.jpg,6.2000,https://www.gsmarena.com/asus_zenfone_5z_zs620kl-9096.php,1,1,1,0,0,274000
753,Asus Zenfone 5 ZE620KL,0,357,0,2018,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-ze620kl-5z-zs620kl.jpg,6.2000,https://www.gsmarena.com/asus_zenfone_5_ze620kl-9061.php,1,1,1,0,0,136000
754,Asus Zenfone 5 Lite ZC600KL,0,223,0,2018,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-lite-r.jpg,6.0000,https://www.gsmarena.com/asus_zenfone_5_lite_zc600kl-9068.php,1,1,1,0,0,71000
755,Asus Zenfone Max (M1) ZB555KL,0,143,0,2018,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1-zb555kl.jpg,5.5000,https://www.gsmarena.com/asus_zenfone_max_(m1)_zb555kl-9097.php,0,1,1,0,0,0
756,Asus Zenfone Max Plus (M1) ZB570TL,0,223,0,2017,https://cdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1.jpg,5.7000,https://www.gsmarena.com/asus_zenfone_max_plus_(m1)_zb570tl-8953.php,0,1,1,0,0,0
